


























































"GEO-Cloud_005-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,63616.083,11 Aug 2014 10:10:16.083,63865.400,11 Aug 2014 10:14:25.400,249.317












"GEO-Cloud_006-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,63273.893,11 Aug 2014 10:04:33.893,63865.400,11 Aug 2014 10:14:25.400,591.507






"GEO-Cloud_007-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,63725.455,11 Aug 2014 10:12:05.455,63865.400,11 Aug 2014 10:14:25.400,139.945






"GEO-Cloud_007-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,62931.572,11 Aug 2014 09:58:51.572,63543.270,11 Aug 2014 10:09:03.270,611.698






"GEO-Cloud_008-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,63358.678,11 Aug 2014 10:05:58.678,63752.758,11 Aug 2014 10:12:32.758,394.080






"GEO-Cloud_008-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,62589.285,11 Aug 2014 09:53:09.285,63194.436,11 Aug 2014 10:03:14.436,605.151






"GEO-Cloud_009-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,62997.265,11 Aug 2014 09:59:57.265,63438.663,11 Aug 2014 10:07:18.663,441.398






"GEO-Cloud_009-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,62480.000,11 Aug 2014 09:51:20.000,62845.372,11 Aug 2014 09:57:25.372,365.372






"GEO-Cloud_010-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,62639.263,11 Aug 2014 09:53:59.263,63120.256,11 Aug 2014 10:02:00.256,480.994



"GEO-Cloud_010-To-Puertollano - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
