"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,1896.916,10 Aug 2014 17:01:36.916,2417.252,10 Aug 2014 17:10:17.252,520.337
2,39552.969,11 Aug 2014 03:29:12.969,40026.558,11 Aug 2014 03:37:06.558,473.590
3,45290.281,11 Aug 2014 05:04:50.281,45888.239,11 Aug 2014 05:14:48.239,597.959
4,84089.193,11 Aug 2014 15:51:29.193,84734.890,11 Aug 2014 16:02:14.890,645.698

"GEO-Cloud_001-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,34396.574,11 Aug 2014 02:03:16.574,35040.802,11 Aug 2014 02:14:00.802,644.228
2,40338.964,11 Aug 2014 03:42:18.964,40736.791,11 Aug 2014 03:48:56.791,397.827
3,77479.456,11 Aug 2014 14:01:19.456,77991.076,11 Aug 2014 14:09:51.076,511.620
4,83236.377,11 Aug 2014 15:37:16.377,83850.615,11 Aug 2014 15:47:30.615,614.238

"GEO-Cloud_001-To-Dubai - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,4293.204,10 Aug 2014 17:41:33.204,4607.875,10 Aug 2014 17:46:47.875,314.671
2,9942.744,10 Aug 2014 19:15:42.744,10588.288,10 Aug 2014 19:26:28.288,645.544
3,48979.008,11 Aug 2014 06:06:19.008,49616.420,11 Aug 2014 06:16:56.420,637.412
4,54920.443,11 Aug 2014 07:45:20.443,55298.861,11 Aug 2014 07:51:38.861,378.418

"GEO-Cloud_001-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,3605.653,10 Aug 2014 17:30:05.653,4155.656,10 Aug 2014 17:39:15.656,550.002
2,31927.428,11 Aug 2014 01:22:07.428,32464.949,11 Aug 2014 01:31:04.949,537.520
3,37644.639,11 Aug 2014 02:57:24.639,38307.207,11 Aug 2014 03:08:27.207,662.569
4,43632.574,11 Aug 2014 04:37:12.574,44032.924,11 Aug 2014 04:43:52.924,400.350
5,80058.332,11 Aug 2014 14:44:18.332,80581.741,11 Aug 2014 14:53:01.741,523.409
6,85827.182,11 Aug 2014 16:20:27.182,86400.000,11 Aug 2014 16:30:00.000,572.818

"GEO-Cloud_001-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,33774.619,11 Aug 2014 01:52:54.619,34428.384,11 Aug 2014 02:03:48.384,653.765
2,72425.768,11 Aug 2014 12:37:05.768,72595.777,11 Aug 2014 12:39:55.777,170.010
3,77973.658,11 Aug 2014 14:09:33.658,78616.112,11 Aug 2014 14:20:16.112,642.454

"GEO-Cloud_001-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,10885.200,10 Aug 2014 19:31:25.200,11448.520,10 Aug 2014 19:40:48.520,563.321
2,16683.981,10 Aug 2014 21:08:03.981,17242.973,10 Aug 2014 21:17:22.973,558.993
3,54184.197,11 Aug 2014 07:33:04.197,54516.048,11 Aug 2014 07:38:36.048,331.851
4,59843.432,11 Aug 2014 09:07:23.432,60486.807,11 Aug 2014 09:18:06.807,643.375

"GEO-Cloud_001-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,36955.610,11 Aug 2014 02:45:55.610,37464.522,11 Aug 2014 02:54:24.522,508.911
2,42723.066,11 Aug 2014 04:22:03.066,43277.861,11 Aug 2014 04:31:17.861,554.795
3,80867.052,11 Aug 2014 14:57:47.052,81427.728,11 Aug 2014 15:07:07.728,560.676

"GEO-Cloud_001-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,2425.921,10 Aug 2014 17:10:25.921,3081.690,10 Aug 2014 17:21:21.690,655.769
2,8465.998,10 Aug 2014 18:51:05.998,8777.988,10 Aug 2014 18:56:17.988,311.989
3,44790.726,11 Aug 2014 04:56:30.726,45355.866,11 Aug 2014 05:05:55.866,565.140
4,50575.434,11 Aug 2014 06:32:55.434,51230.432,11 Aug 2014 06:43:50.432,654.998
5,56445.190,11 Aug 2014 08:10:45.190,56870.944,11 Aug 2014 08:17:50.944,425.754
6,79118.754,11 Aug 2014 14:28:38.754,79424.699,11 Aug 2014 14:33:44.699,305.945
7,84694.764,11 Aug 2014 16:01:34.764,85325.264,11 Aug 2014 16:12:05.264,630.500

"GEO-Cloud_001-To-Puertollano - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,21513.953,10 Aug 2014 22:28:33.953,22133.374,10 Aug 2014 22:38:53.374,619.421
2,27339.010,11 Aug 2014 00:05:39.010,27896.063,11 Aug 2014 00:14:56.063,557.053
3,60997.205,11 Aug 2014 09:26:37.205,61583.025,11 Aug 2014 09:36:23.025,585.820
