




"GEO-Cloud_001-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,54184.197,11 Aug 2014 07:33:04.197,54516.048,11 Aug 2014 07:38:36.048,331.851









"GEO-Cloud_002-To-Dubai - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,54549.433,11 Aug 2014 07:39:09.433,54753.400,11 Aug 2014 07:42:33.400,203.967



"GEO-Cloud_002-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,54060.000,11 Aug 2014 07:31:00.000,54127.270,11 Aug 2014 07:32:07.270,67.270









"GEO-Cloud_003-To-Dubai - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,54184.031,11 Aug 2014 07:33:04.031,54662.093,11 Aug 2014 07:41:02.093,478.062












"GEO-Cloud_004-To-Dubai - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,54060.000,11 Aug 2014 07:31:00.000,54337.467,11 Aug 2014 07:35:37.467,277.467







"GEO-Cloud_004-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,54659.961,11 Aug 2014 07:40:59.961,54753.400,11 Aug 2014 07:42:33.400,93.439












"GEO-Cloud_005-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,54316.305,11 Aug 2014 07:35:16.305,54753.400,11 Aug 2014 07:42:33.400,437.095










"GEO-Cloud_006-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,54708.084,11 Aug 2014 07:41:48.084,54753.400,11 Aug 2014 07:42:33.400,45.316


"GEO-Cloud_006-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,54060.000,11 Aug 2014 07:31:00.000,54639.397,11 Aug 2014 07:40:39.397,579.397










"GEO-Cloud_007-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,54362.011,11 Aug 2014 07:36:02.011,54753.400,11 Aug 2014 07:42:33.400,391.389


"GEO-Cloud_007-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,54060.000,11 Aug 2014 07:31:00.000,54296.688,11 Aug 2014 07:34:56.688,236.688










"GEO-Cloud_008-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,54060.000,11 Aug 2014 07:31:00.000,54577.906,11 Aug 2014 07:39:37.906,517.906












"GEO-Cloud_009-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,54060.000,11 Aug 2014 07:31:00.000,54246.763,11 Aug 2014 07:34:06.763,186.763












































































"GEO-Cloud_015-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,54419.045,11 Aug 2014 07:36:59.045,54670.346,11 Aug 2014 07:41:10.346,251.301












"GEO-Cloud_016-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,54085.577,11 Aug 2014 07:31:25.577,54303.427,11 Aug 2014 07:35:03.427,217.851






"GEO-Cloud_017-To-Krugersdorp - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,54495.427,11 Aug 2014 07:38:15.427,54753.400,11 Aug 2014 07:42:33.400,257.973







