"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,84089.193,11 Aug 2014 15:51:29.193,84734.890,11 Aug 2014 16:02:14.890,645.698

"GEO-Cloud_001-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,83236.377,11 Aug 2014 15:37:16.377,83850.615,11 Aug 2014 15:47:30.615,614.238


"GEO-Cloud_001-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,80058.332,11 Aug 2014 14:44:18.332,80581.741,11 Aug 2014 14:53:01.741,523.409

"GEO-Cloud_001-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,78461.000,11 Aug 2014 14:17:41.000,78616.112,11 Aug 2014 14:20:16.112,155.112


"GEO-Cloud_001-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80867.052,11 Aug 2014 14:57:47.052,81427.728,11 Aug 2014 15:07:07.728,560.676

"GEO-Cloud_001-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,79118.754,11 Aug 2014 14:28:38.754,79424.699,11 Aug 2014 14:33:44.699,305.945
7,84694.764,11 Aug 2014 16:01:34.764,84999.400,11 Aug 2014 16:06:39.400,304.636


"GEO-Cloud_001-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
14,79526.022,11 Aug 2014 14:35:26.022,79762.293,11 Aug 2014 14:39:22.293,236.271


"GEO-Cloud_001-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
12,82396.795,11 Aug 2014 15:23:16.795,82984.621,11 Aug 2014 15:33:04.621,587.826

"GEO-Cloud_002-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,83753.408,11 Aug 2014 15:45:53.408,84389.939,11 Aug 2014 15:56:29.939,636.531

"GEO-Cloud_002-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,82890.061,11 Aug 2014 15:31:30.061,83517.403,11 Aug 2014 15:41:57.403,627.342


"GEO-Cloud_002-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
5,79724.521,11 Aug 2014 14:38:44.521,80223.648,11 Aug 2014 14:47:03.648,499.127



"GEO-Cloud_002-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80541.354,11 Aug 2014 14:52:21.354,81071.918,11 Aug 2014 15:01:11.918,530.564

"GEO-Cloud_002-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,78803.723,11 Aug 2014 14:23:23.723,79069.016,11 Aug 2014 14:27:49.016,265.294
7,84359.488,11 Aug 2014 15:55:59.488,84981.288,11 Aug 2014 16:06:21.288,621.800


